№,Имя,Род,Текст,Ссылка
160,Эрик Корнелл,Муж,За достижение конденсации Бозе — Эйнштейна в разреженных газах щелочных металлов и за начальные фундаментальные исследования свойств конденсатов,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BD%D0%B5%D0%BB%D0%BB,_%D0%AD%D1%80%D0%B8%D0%BA_%D0%90%D0%BB%D0%BB%D0%B8%D0%BD"
161,Вольфганг Кеттерле,Муж,За достижение конденсации Бозе — Эйнштейна в разреженных газах щелочных металлов и за начальные фундаментальные исследования свойств конденсатов,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D1%82%D1%82%D0%B5%D1%80%D0%BB%D0%B5,_%D0%92%D0%BE%D0%BB%D1%8C%D1%84%D0%B3%D0%B0%D0%BD%D0%B3"
162,Карл Виман,Муж,За достижение конденсации Бозе — Эйнштейна в разреженных газах щелочных металлов и за начальные фундаментальные исследования свойств конденсатов,"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BC%D0%B0%D0%BD,_%D0%9A%D0%B0%D1%80%D0%BB"
163,Раймонд Дэвис мл.,Муж,"За пионерский вклад в астрофизику, в частности за обнаружение космических нейтрино","https://ru.wikipedia.org/wiki/%D0%94%D1%8D%D0%B2%D0%B8%D1%81,_%D0%A0%D0%B0%D0%B9%D0%BC%D0%BE%D0%BD%D0%B4"
164,Масатоси Косиба,Муж,"За пионерский вклад в астрофизику, в частности за обнаружение космических нейтрино","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%81%D0%B8%D0%B1%D0%B0,_%D0%9C%D0%B0%D1%81%D0%B0%D1%82%D0%BE%D1%81%D0%B8"
165,Риккардо Джаккони,Муж,"За изыскания в области астрофизики, которые привели к открытию космических источников рентгеновского излучения","https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%B0%D0%BA%D0%BA%D0%BE%D0%BD%D0%B8,_%D0%A0%D0%B8%D0%BA%D0%BA%D0%B0%D1%80%D0%B4%D0%BE"
166,Алексей Абрикосов,Муж,За пионерский вклад в теорию сверхпроводников и сверхтекучих жидкостей,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B8%D0%BA%D0%BE%D1%81%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
167,Виталий Гинзбург,Муж,За пионерский вклад в теорию сверхпроводников и сверхтекучих жидкостей,"https://ru.wikipedia.org/wiki/%D0%93%D0%B8%D0%BD%D0%B7%D0%B1%D1%83%D1%80%D0%B3,_%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D0%B8%D0%B9_%D0%9B%D0%B0%D0%B7%D0%B0%D1%80%D0%B5%D0%B2%D0%B8%D1%87"
168,Энтони Леггетт,Муж,За пионерский вклад в теорию сверхпроводников и сверхтекучих жидкостей,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B3%D0%B3%D0%B5%D1%82%D1%82,_%D0%AD%D0%BD%D1%82%D0%BE%D0%BD%D0%B8_%D0%94%D0%B6%D0%B5%D0%B9%D0%BC%D1%81"
169,Дэвид Гросс,Муж,За открытие асимптотической свободы в теории сильных взаимодействий,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%BE%D1%81%D1%81,_%D0%94%D1%8D%D0%B2%D0%B8%D0%B4"
170,Дэвид Политцер,Муж,За открытие асимптотической свободы в теории сильных взаимодействий,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D0%B8%D1%82%D1%86%D0%B5%D1%80,_%D0%A5%D1%8C%D1%8E_%D0%94%D1%8D%D0%B2%D0%B8%D0%B4"
171,Фрэнк Вильчек,Муж,За открытие асимптотической свободы в теории сильных взаимодействий,"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BB%D1%8C%D1%87%D0%B5%D0%BA,_%D0%A4%D1%80%D1%8D%D0%BD%D0%BA"
172,Рой Глаубер,Муж,За вклад в квантовую теорию оптической когерентности,"https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D0%B0%D1%83%D0%B1%D0%B5%D1%80,_%D0%A0%D0%BE%D0%B9"
173,Джон Холл,Муж,"За вклад в развитие лазерной точной спектроскопии, включая технику прецизионного расчета светового сдвига в оптических стандартах частоты (оптических гребёнок)","https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BB%D0%BB,_%D0%94%D0%B6%D0%BE%D0%BD_(%D1%84%D0%B8%D0%B7%D0%B8%D0%BA)"
174,Теодор Хенш,Муж,"За вклад в развитие лазерной точной спектроскопии, включая технику прецизионного расчета светового сдвига в оптических стандартах частоты (оптических гребёнок)","https://ru.wikipedia.org/wiki/%D0%A5%D0%B5%D0%BD%D1%88,_%D0%A2%D0%B5%D0%BE%D0%B4%D0%BE%D1%80"
175,Джон Мазер,Муж,За открытие чернотельной формы спектра и анизотропии космического микроволнового фонового излучения,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B7%D0%B5%D1%80,_%D0%94%D0%B6%D0%BE%D0%BD_(%D1%84%D0%B8%D0%B7%D0%B8%D0%BA)"
176,Джордж Смут,Муж,За открытие чернотельной формы спектра и анизотропии космического микроволнового фонового излученияЗа открытие чернотельной формы спектра и анизотропии космического микроволнового фонового излучения,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D1%83%D1%82,_%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6"
177,Альбер Ферт,Муж,За открытие эффекта гигантского магнетосопротивления,"https://ru.wikipedia.org/wiki/%D0%A4%D0%B5%D1%80%D1%82,_%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D1%80"
178,Петер Грюнберг,Муж,За открытие эффекта гигантского магнетосопротивления,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D1%8E%D0%BD%D0%B1%D0%B5%D1%80%D0%B3,_%D0%9F%D0%B5%D1%82%D0%B5%D1%80"
179,Йоитиро Намбу,Муж,За открытие механизма спонтанного нарушения симметрии в субатомной физике,"https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BC%D0%B1%D1%83,_%D0%99%D0%BE%D0%B8%D1%82%D0%B8%D1%80%D0%BE"
180,Макото Кобаяси,Муж,"За открытие источника нарушения симметрии, которое позволило предсказать существование в природе по меньшей мере трёх поколений кварков","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B1%D0%B0%D1%8F%D1%81%D0%B8,_%D0%9C%D0%B0%D0%BA%D0%BE%D1%82%D0%BE"
181,Тосихидэ Маскава,Муж,"За открытие источника нарушения симметрии, которое позволило предсказать существование в природе по меньшей мере трёх поколений кварков","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%81%D0%BA%D0%B0%D0%B2%D0%B0,_%D0%A2%D0%BE%D1%81%D0%B8%D1%85%D0%B8%D0%B4%D1%8D"
182,Чарльз Куэн Као,Муж,"За революционные достижения, касающиеся передачи света в волокнах для нужд оптической связи","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BE,_%D0%A7%D0%B0%D1%80%D0%BB%D1%8C%D0%B7"
183,Уиллард Бойл,Муж,За изобретение полупроводниковой схемы для регистрации изображений — ПЗС-сенсора,"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B9%D0%BB,_%D0%A3%D0%B8%D0%BB%D0%BB%D0%B0%D1%80%D0%B4"
184,Джордж Смит,Муж,За изобретение полупроводниковой схемы для регистрации изображений — ПЗС-сенсора,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%B8%D1%82,_%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6_%D0%AD%D0%BB%D0%B2%D1%83%D0%B4"
185,Андрей Гейм,Муж,За новаторские эксперименты по исследованию двумерного материала графена,"https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%B9%D0%BC,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
186,Константин Новосёлов,Муж,За новаторские эксперименты по исследованию двумерного материала графена,"https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%81%D1%91%D0%BB%D0%BE%D0%B2,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
187,Сол Перлмуттер,Муж,За открытие ускоренного расширения Вселенной посредством наблюдения дальних сверхновых,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%BB%D0%BC%D1%83%D1%82%D1%82%D0%B5%D1%80,_%D0%A1%D0%BE%D0%BB"
188,Брайан Шмидт,Муж,За открытие ускоренного расширения Вселенной посредством наблюдения дальних сверхновых,"https://ru.wikipedia.org/wiki/%D0%A8%D0%BC%D0%B8%D0%B4%D1%82,_%D0%91%D1%80%D0%B0%D0%B9%D0%B0%D0%BD"
189,Адам Рисс,Муж,За открытие ускоренного расширения Вселенной посредством наблюдения дальних сверхновых,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B8%D1%81%D1%81,_%D0%90%D0%B4%D0%B0%D0%BC"
190,Серж Арош,Муж,"За создание прорывных технологий манипулирования квантовыми системами, которые сделали возможными измерение отдельных квантовых систем и управление ими","https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BE%D1%88,_%D0%A1%D0%B5%D1%80%D0%B6"
191,Дэвид Уайнленд,Муж,"За создание прорывных технологий манипулирования квантовыми системами, которые сделали возможными измерение отдельных квантовых систем и управление ими","https://ru.wikipedia.org/wiki/%D0%A3%D0%B0%D0%B9%D0%BD%D0%BB%D0%B5%D0%BD%D0%B4,_%D0%94%D1%8D%D0%B2%D0%B8%D0%B4"
192,Франсуа Энглер,Муж,"За теоретическое обнаружение механизма, который помогает нам понять происхождение массы субатомных частиц, подтверждённого в последнее время обнаружением предсказанной элементарной частицы в экспериментах ATLAS и CMS на Большом адронном коллайдере в ЦЕРН","https://ru.wikipedia.org/wiki/%D0%AD%D0%BD%D0%B3%D0%BB%D0%B5%D1%80,_%D0%A4%D1%80%D0%B0%D0%BD%D1%81%D1%83%D0%B0"
193,Питер Хиггс,Муж,"За теоретическое обнаружение механизма, который помогает нам понять происхождение массы субатомных частиц, подтверждённого в последнее время обнаружением предсказанной элементарной частицы в экспериментах ATLAS и CMS на Большом адронном коллайдере в ЦЕРН","https://ru.wikipedia.org/wiki/%D0%A5%D0%B8%D0%B3%D0%B3%D1%81,_%D0%9F%D0%B8%D1%82%D0%B5%D1%80"
194,Исаму Акасаки,Муж,"За изобретение эффективных синих светодиодов, приведших к появлению ярких и энергосберегающих источников белого света","https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D0%B0%D1%81%D0%B0%D0%BA%D0%B8,_%D0%98%D1%81%D0%B0%D0%BC%D1%83"
195,Хироси Амано,Муж,"За изобретение эффективных синих светодиодов, приведших к появлению ярких и энергосберегающих источников белого света","https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B0%D0%BD%D0%BE,_%D0%A5%D0%B8%D1%80%D0%BE%D1%81%D0%B8"
196,Сюдзи Накамура,Муж,"За изобретение эффективных синих светодиодов, приведших к появлению ярких и энергосберегающих источников белого света","https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BA%D0%B0%D0%BC%D1%83%D1%80%D0%B0,_%D0%A1%D1%8E%D0%B4%D0%B7%D0%B8"
197,Такааки Кадзита,Муж,"За открытие нейтринных осцилляций, показывающее, что нейтрино имеют массу","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B4%D0%B7%D0%B8%D1%82%D0%B0,_%D0%A2%D0%B0%D0%BA%D0%B0%D0%B0%D0%BA%D0%B8"
198,Артур Макдональд,Муж,"За открытие нейтринных осцилляций, показывающее, что нейтрино имеют массу","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B4%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%B4,_%D0%90%D1%80%D1%82%D1%83%D1%80"
199,Дэйвид Таулесс,Муж,За теоретические открытия топологических фазовых переходов и топологических фаз вещества,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D1%83%D0%BB%D0%B5%D1%81%D1%81,_%D0%94%D1%8D%D0%B9%D0%B2%D0%B8%D0%B4"
200,Данкан Холдейн,Муж,За теоретические открытия топологических фазовых переходов и топологических фаз вещества,"https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BB%D0%B4%D0%B5%D0%B9%D0%BD,_%D0%94%D0%B0%D0%BD%D0%BA%D0%B0%D0%BD"
201,Джон Костерлиц,Муж,За теоретические открытия топологических фазовых переходов и топологических фаз вещества,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%81%D1%82%D0%B5%D1%80%D0%BB%D0%B8%D1%86,_%D0%94%D0%B6%D0%BE%D0%BD"
202,Рейнер Вайс,Муж,За решающий вклад в детектор LIGO и наблюдение гравитационных волн,"https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%B9%D1%81%D1%81,_%D0%A0%D0%B0%D0%B9%D0%BD%D0%B5%D1%80"
203,Барри Бэриш,Муж,За решающий вклад в детектор LIGO и наблюдение гравитационных волн,"https://ru.wikipedia.org/wiki/%D0%91%D1%8D%D1%80%D0%B8%D1%88,_%D0%91%D0%B0%D1%80%D1%80%D0%B8"
204,Кип Торн,Муж,За решающий вклад в детектор LIGO и наблюдение гравитационных волн,"https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D1%80%D0%BD,_%D0%9A%D0%B8%D0%BF_%D0%A1%D1%82%D0%B8%D0%B2%D0%B5%D0%BD"
205,Артур Эшкин,Муж,За изобретение оптического пинцета и их применение в биологических системах,"https://ru.wikipedia.org/wiki/%D0%AD%D1%88%D0%BA%D0%B8%D0%BD,_%D0%90%D1%80%D1%82%D1%83%D1%80"
206,Жерар Муру,Муж,За метод генерации высокоинтенсивных ультракоротких оптических импульсовм,"https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%80%D1%83,_%D0%96%D0%B5%D1%80%D0%B0%D1%80"
207,Донна Стрикленд,Жен,За метод генерации высокоинтенсивных ультракоротких оптических импульсовм,"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D0%B8%D0%BA%D0%BB%D0%B5%D0%BD%D0%B4,_%D0%94%D0%BE%D0%BD%D0%BD%D0%B0"
208,Джим Пиблс,Муж,За теоретические исследования в физической космологии,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D0%B1%D0%BB%D1%81,_%D0%94%D0%B6%D0%B8%D0%BC"
209,Мишель Майор,Муж,За открытие экзопланеты на орбите солнцеподобной звезды,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%BE%D1%80,_%D0%9C%D0%B8%D1%88%D0%B5%D0%BB%D1%8C"
210,Дидье Кело,Муж,За открытие экзопланеты на орбите солнцеподобной звезды,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D0%BB%D0%BE,_%D0%94%D0%B8%D0%B4%D1%8C%D0%B5"
211,Роджер Пенроуз,Муж,"За открытие того, что образование чёрных дыр с необходимостью следует из общей теории относительности","https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D1%80%D0%BE%D1%83%D0%B7,_%D0%A0%D0%BE%D0%B4%D0%B6%D0%B5%D1%80"
212,Райнхард Генцель,Муж,За открытие сверхмассивного компактного объекта в центре нашей галактики,"https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BD%D1%86%D0%B5%D0%BB%D1%8C,_%D0%A0%D0%B0%D0%B9%D0%BD%D1%85%D0%B0%D1%80%D0%B4"
213,Андреа Гез,Муж,За открытие сверхмассивного компактного объекта в центре нашей галактики,"https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%B7,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B0"
214,Джорджо Паризи,Муж,За открытие взаимодействия беспорядка и колебаний в физических системах от атомного до планетарного масштабов.,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B8%D0%B7%D0%B8,_%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6%D0%BE"
215,Сюкуро Манабэ,Муж,"За физическое моделирование климата Земли, количественную оценку изменчивости и надежное прогнозирование глобального потепления.","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BD%D0%B0%D0%B1%D1%8D,_%D0%A1%D1%8E%D0%BA%D1%83%D1%80%D0%BE"
216,Клаус Хассельман,Муж,"За физическое моделирование климата Земли, количественную оценку изменчивости и надежное прогнозирование глобального потепления.","https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D1%81%D1%81%D0%B5%D0%BB%D1%8C%D0%BC%D0%B0%D0%BD,_%D0%9A%D0%BB%D0%B0%D1%83%D1%81"
217,Ален Аспе,Муж,"За эксперименты с запутанными фотонами, исследование нарушений неравенств Белла и работы по квантовой информатике","https://ru.wikipedia.org/wiki/%D0%90%D1%81%D0%BF%D0%B5,_%D0%90%D0%BB%D0%B5%D0%BD"
218,Джон Клаузер,Муж,"За эксперименты с запутанными фотонами, исследование нарушений неравенств Белла и работы по квантовой информатике","https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B0%D1%83%D0%B7%D0%B5%D1%80,_%D0%94%D0%B6%D0%BE%D0%BD"
219,Антон Цайлингер,Муж,"За эксперименты с запутанными фотонами, исследование нарушений неравенств Белла и работы по квантовой информатике","https://ru.wikipedia.org/wiki/%D0%A6%D0%B0%D0%B9%D0%BB%D0%B8%D0%BD%D0%B3%D0%B5%D1%80,_%D0%90%D0%BD%D1%82%D0%BE%D0%BD"
